film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,first_name,last_name,category_id
1,Academy dinosaur,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",Penelope,Guiness,6
1,Academy dinosaur,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",Christian,Gable,6
1,Academy dinosaur,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",Lucille,Tracy,6
1,Academy dinosaur,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",Sandra,Peck,6
2,Ace goldfinger,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,1,3,4.99,48,12.99,G,"Trailers,Deleted Scenes",Bob,Fawcett,11
3,Adaptation holes,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,1,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes",Nick,Wahlberg,6
3,Adaptation holes,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,1,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes",Bob,Fawcett,6
3,Adaptation holes,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,1,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes",Cameron,Streep,6
6,Agent truman,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006,1,3,2.99,169,17.99,PG,Deleted Scenes,Kirsten,Paltrow,9
6,Agent truman,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006,1,3,2.99,169,17.99,PG,Deleted Scenes,Sandra,Kilmer,9
9,Alabama devil,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,1,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes",Christian,Gable,11
9,Alabama devil,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,1,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes",Elvis,Marx,11
9,Alabama devil,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,1,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes",Rip,Crawford,11
10,Aladdin calendar,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,1,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes",Alec,Wayne,15
10,Aladdin calendar,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,1,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes",Judy,Dean,15
10,Aladdin calendar,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,1,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes",Val,Bolger,15
12,Alaska phantom,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006,1,6,0.99,136,22.99,PG,"Commentaries,Deleted Scenes",Val,Bolger,12
14,Alice fantasia,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,2006,1,6,0.99,94,23.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes",Woody,Hoffman,4
15,Alien center,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006,1,5,2.99,46,10.99,NC-17,"Trailers,Commentaries,Behind the Scenes",Burt,Dukakis,9
16,Alley evolution,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2006,1,6,2.99,180,23.99,NC-17,"Trailers,Commentaries",Karl,Berry,9
17,Alone trip,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006,1,3,0.99,82,14.99,R,"Trailers,Behind the Scenes",Ed,Chase,12
17,Alone trip,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006,1,3,0.99,82,14.99,R,"Trailers,Behind the Scenes",Karl,Berry,12
17,Alone trip,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006,1,3,0.99,82,14.99,R,"Trailers,Behind the Scenes",Uma,Wood,12
19,Amadeus holy,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006,1,6,0.99,113,20.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",Johnny,Lollobrigida,1
19,Amadeus holy,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006,1,6,0.99,113,20.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",Julia,Mcqueen,1
19,Amadeus holy,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006,1,6,0.99,113,20.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",Val,Bolger,1
21,American circus,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006,1,3,4.99,129,17.99,R,"Commentaries,Behind the Scenes",Kevin,Bloom,1
21,American circus,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006,1,3,4.99,129,17.99,R,"Commentaries,Behind the Scenes",Rip,Crawford,1
23,Anaconda confessions,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,1,3,0.99,92,9.99,R,"Trailers,Deleted Scenes",Penelope,Guiness,2
